Turbine_ID,Compressor_ID,Location,Manufacturer,Installation_Year,Last_Maintenance_Date,Operating_Hours,Next_Maintenance_Due,Power_Output_MW,Efficiency_Percent,Vibration_Level_mm_s,Temperature_C,Pressure_Ratio,Fuel_Type,Status
TURB-0372,COMP-0372,Site A,Mitsubishi,2001,2024-01-07,8133,2024-06-06,137.12,80.24,2.18,806.56,5.39,Hydrogen,Maintenance Required
TURB-0373,COMP-0373,Site C,Mitsubishi,2011,2024-01-08,16893,2024-06-07,258.89,79.72,8.72,1106.95,14.83,Hydrogen,Out of Service
TURB-0374,COMP-0374,Site C,GE,2015,2024-01-09,98460,2024-06-08,496.9,73.83,9.19,1179.19,14.3,Natural Gas,Out of Service
TURB-0375,COMP-0375,Site A,Siemens,2001,2024-01-10,64163,2024-06-09,452.04,93.13,7.19,567.55,2.32,Natural Gas,Operational
TURB-0376,COMP-0376,Site D,Solar,2014,2024-01-11,18457,2024-06-10,149.14,72.54,6.03,670.66,16.5,Natural Gas,Out of Service
TURB-0377,COMP-0377,Site A,Siemens,2005,2024-01-12,44329,2024-06-11,106.39,80.14,2.44,407.9,7.47,Natural Gas,Operational
TURB-0378,COMP-0378,Site B,Siemens,2010,2024-01-13,28730,2024-06-12,243.71,69.91,8.67,823.39,9.31,Diesel,Maintenance Required
TURB-0379,COMP-0379,Site A,Solar,2016,2024-01-14,34303,2024-06-13,91.23,76.52,5.81,930.0,7.17,Diesel,Operational
TURB-0380,COMP-0380,Site D,Mitsubishi,2003,2024-01-15,56364,2024-06-14,381.44,85.89,6.15,97.38,2.81,Natural Gas,Out of Service
TURB-0381,COMP-0381,Site C,Siemens,2018,2024-01-16,53231,2024-06-15,27.94,88.8,6.1,1023.62,5.42,Natural Gas,Operational
TURB-0382,COMP-0382,Site A,GE,2004,2024-01-17,34528,2024-06-16,120.12,90.64,8.68,640.87,6.37,Diesel,Out of Service
TURB-0383,COMP-0383,Site C,Siemens,2011,2024-01-18,79946,2024-06-17,18.93,88.0,1.46,716.67,15.07,Natural Gas,Maintenance Required
TURB-0384,COMP-0384,Site B,Mitsubishi,2018,2024-01-19,49961,2024-06-18,121.1,77.74,0.71,287.16,4.67,Hydrogen,Operational
TURB-0385,COMP-0385,Site D,GE,2000,2024-01-20,48813,2024-06-19,35.63,61.42,2.32,61.85,23.14,Hydrogen,Out of Service
TURB-0386,COMP-0386,Site C,Mitsubishi,2010,2024-01-21,48930,2024-06-20,340.04,79.93,4.97,1145.03,6.95,Natural Gas,Out of Service
TURB-0387,COMP-0387,Site B,GE,2005,2024-01-22,91319,2024-06-21,289.43,62.1,4.75,1117.66,16.82,Natural Gas,Operational
TURB-0388,COMP-0388,Site D,Mitsubishi,2003,2024-01-23,63254,2024-06-22,114.82,96.73,5.17,940.49,5.2,Hydrogen,Operational
TURB-0389,COMP-0389,Site D,Siemens,2016,2024-01-24,74635,2024-06-23,110.49,74.36,1.23,594.64,20.19,Natural Gas,Maintenance Required
TURB-0390,COMP-0390,Site C,Mitsubishi,2011,2024-01-25,46953,2024-06-24,152.68,79.14,7.95,415.26,3.18,Hydrogen,Out of Service
TURB-0391,COMP-0391,Site C,Solar,2009,2024-01-26,4263,2024-06-25,401.12,64.92,3.09,229.49,18.83,Hydrogen,Out of Service
TURB-0392,COMP-0392,Site C,Siemens,2013,2024-01-27,68533,2024-06-26,83.75,97.84,9.14,143.06,10.74,Natural Gas,Operational
TURB-0393,COMP-0393,Site D,Mitsubishi,2006,2024-01-28,86925,2024-06-27,69.63,78.7,8.42,575.9,12.44,Natural Gas,Operational
TURB-0394,COMP-0394,Site D,Siemens,2010,2024-01-29,1025,2024-06-28,258.94,71.34,0.73,961.08,10.11,Hydrogen,Maintenance Required
TURB-0395,COMP-0395,Site D,Mitsubishi,2002,2024-01-30,75234,2024-06-29,433.83,67.34,0.63,884.81,10.95,Natural Gas,Operational
TURB-0396,COMP-0396,Site C,Mitsubishi,2007,2024-01-31,31867,2024-06-30,119.81,84.7,6.33,919.32,1.63,Natural Gas,Operational
TURB-0397,COMP-0397,Site C,Siemens,2019,2024-02-01,87393,2024-07-01,62.07,76.58,0.87,186.45,2.11,Diesel,Maintenance Required
TURB-0398,COMP-0398,Site B,GE,2004,2024-02-02,8683,2024-07-02,250.93,72.06,5.76,1042.16,20.16,Diesel,Operational
TURB-0399,COMP-0399,Site A,GE,2003,2024-02-03,74687,2024-07-03,368.76,60.37,0.88,974.57,6.52,Hydrogen,Out of Service
TURB-0400,COMP-0400,Site B,Mitsubishi,2012,2024-02-04,21544,2024-07-04,312.98,61.38,4.85,158.2,15.77,Hydrogen,Out of Service
TURB-0401,COMP-0401,Site A,Solar,2003,2024-02-05,32448,2024-07-05,214.9,86.36,4.25,460.01,16.85,Hydrogen,Maintenance Required
TURB-0402,COMP-0402,Site B,Solar,2005,2024-02-06,97884,2024-07-06,29.8,78.26,5.95,481.51,17.9,Diesel,Maintenance Required
TURB-0403,COMP-0403,Site C,Mitsubishi,2001,2024-02-07,13083,2024-07-07,157.29,92.26,3.63,895.38,15.54,Hydrogen,Maintenance Required
TURB-0404,COMP-0404,Site D,Mitsubishi,2004,2024-02-08,13653,2024-07-08,460.43,88.63,1.49,1039.56,16.28,Hydrogen,Operational
TURB-0405,COMP-0405,Site A,Siemens,2014,2024-02-09,23291,2024-07-09,119.2,81.79,8.44,482.08,15.17,Diesel,Operational
TURB-0406,COMP-0406,Site D,Solar,2007,2024-02-10,88897,2024-07-10,310.84,81.32,3.06,200.46,23.31,Hydrogen,Out of Service
TURB-0407,COMP-0407,Site A,Siemens,2001,2024-02-11,62938,2024-07-11,454.65,88.32,0.77,144.95,17.12,Natural Gas,Maintenance Required
TURB-0408,COMP-0408,Site D,GE,2020,2024-02-12,45826,2024-07-12,249.17,88.16,5.06,784.67,9.79,Diesel,Maintenance Required
TURB-0409,COMP-0409,Site B,Siemens,2004,2024-02-13,66704,2024-07-13,228.68,72.71,8.79,622.67,9.88,Hydrogen,Maintenance Required
TURB-0410,COMP-0410,Site D,Mitsubishi,2008,2024-02-14,48523,2024-07-14,79.12,64.0,2.88,1087.36,3.37,Hydrogen,Out of Service
TURB-0411,COMP-0411,Site A,Siemens,2007,2024-02-15,35691,2024-07-15,490.5,89.33,4.56,1146.56,24.81,Natural Gas,Maintenance Required
TURB-0412,COMP-0412,Site C,Siemens,2013,2024-02-16,14163,2024-07-16,96.57,68.48,4.09,1082.77,22.43,Diesel,Out of Service
TURB-0413,COMP-0413,Site A,Siemens,2015,2024-02-17,62479,2024-07-17,245.91,90.07,0.58,136.98,2.51,Natural Gas,Maintenance Required
TURB-0414,COMP-0414,Site D,Mitsubishi,2001,2024-02-18,82403,2024-07-18,93.95,83.49,8.7,376.9,21.75,Natural Gas,Out of Service
TURB-0415,COMP-0415,Site B,Mitsubishi,2002,2024-02-19,66231,2024-07-19,180.71,73.6,7.61,324.63,4.75,Hydrogen,Out of Service
TURB-0416,COMP-0416,Site A,Solar,2003,2024-02-20,41422,2024-07-20,443.16,92.39,1.05,128.96,7.12,Hydrogen,Operational
TURB-0417,COMP-0417,Site B,Siemens,2014,2024-02-21,23611,2024-07-21,325.23,86.26,1.41,1106.01,17.5,Hydrogen,Out of Service
TURB-0418,COMP-0418,Site C,GE,2004,2024-02-22,53461,2024-07-22,14.82,80.71,0.2,1079.0,18.66,Natural Gas,Maintenance Required
TURB-0419,COMP-0419,Site B,Siemens,2014,2024-02-23,8625,2024-07-23,483.71,71.43,9.86,499.38,13.39,Diesel,Maintenance Required
TURB-0420,COMP-0420,Site B,GE,2017,2024-02-24,58852,2024-07-24,394.11,97.48,4.22,1152.52,24.24,Hydrogen,Out of Service
TURB-0421,COMP-0421,Site A,Solar,2012,2024-02-25,7984,2024-07-25,498.79,91.86,9.31,697.85,13.01,Natural Gas,Out of Service
TURB-0422,COMP-0422,Site B,Siemens,2010,2024-02-26,81209,2024-07-26,383.8,65.19,4.26,549.14,7.57,Hydrogen,Operational
TURB-0423,COMP-0423,Site B,GE,2009,2024-02-27,71653,2024-07-27,384.78,90.64,1.13,682.1,1.71,Natural Gas,Out of Service
TURB-0424,COMP-0424,Site B,Siemens,2003,2024-02-28,81733,2024-07-28,352.7,64.57,3.5,535.36,21.88,Diesel,Operational
TURB-0425,COMP-0425,Site D,Siemens,2019,2024-02-29,39591,2024-07-29,217.39,69.41,4.24,385.67,10.79,Natural Gas,Maintenance Required
TURB-0426,COMP-0426,Site B,Solar,2004,2024-03-01,64260,2024-07-30,164.32,96.39,1.85,258.27,19.89,Diesel,Operational
TURB-0427,COMP-0427,Site B,GE,2000,2024-03-02,99485,2024-07-31,267.34,93.06,0.63,579.72,19.69,Natural Gas,Out of Service
TURB-0428,COMP-0428,Site B,GE,2012,2024-03-03,91118,2024-08-01,97.34,83.03,3.23,660.39,2.52,Diesel,Maintenance Required
TURB-0429,COMP-0429,Site A,Mitsubishi,2013,2024-03-04,38528,2024-08-02,363.99,86.57,5.44,994.86,20.81,Diesel,Out of Service
TURB-0430,COMP-0430,Site A,GE,2015,2024-03-05,1407,2024-08-03,498.69,63.41,2.63,594.39,8.29,Diesel,Out of Service
TURB-0431,COMP-0431,Site B,Siemens,2012,2024-03-06,47378,2024-08-04,304.46,72.63,9.59,1003.82,21.27,Diesel,Maintenance Required
TURB-0432,COMP-0432,Site B,Solar,2014,2024-03-07,26998,2024-08-05,429.66,72.25,4.87,1147.85,13.07,Hydrogen,Operational
TURB-0433,COMP-0433,Site D,Mitsubishi,2008,2024-03-08,43574,2024-08-06,94.44,61.24,1.39,879.71,15.4,Hydrogen,Operational
TURB-0434,COMP-0434,Site B,Mitsubishi,2002,2024-03-09,47631,2024-08-07,414.28,86.76,4.19,187.67,3.88,Natural Gas,Operational
TURB-0435,COMP-0435,Site C,Siemens,2001,2024-03-10,11714,2024-08-08,454.64,71.69,7.11,580.46,10.41,Hydrogen,Operational
TURB-0436,COMP-0436,Site B,Solar,2011,2024-03-11,73892,2024-08-09,421.05,84.06,4.92,1035.22,24.32,Diesel,Operational
TURB-0437,COMP-0437,Site A,Mitsubishi,2017,2024-03-12,25442,2024-08-10,317.36,61.03,3.38,615.39,23.26,Hydrogen,Operational
TURB-0438,COMP-0438,Site A,Solar,2003,2024-03-13,64764,2024-08-11,463.93,60.06,1.15,982.34,24.86,Diesel,Maintenance Required
TURB-0439,COMP-0439,Site B,GE,2019,2024-03-14,49889,2024-08-12,481.12,66.46,4.65,942.28,13.49,Hydrogen,Out of Service
TURB-0440,COMP-0440,Site A,Mitsubishi,2014,2024-03-15,55892,2024-08-13,409.53,86.71,1.06,233.82,20.73,Natural Gas,Maintenance Required
TURB-0441,COMP-0441,Site D,Mitsubishi,2000,2024-03-16,16869,2024-08-14,278.09,82.96,3.77,428.91,12.19,Natural Gas,Out of Service
TURB-0442,COMP-0442,Site A,Solar,2007,2024-03-17,50247,2024-08-15,419.3,67.63,1.25,928.5,23.62,Diesel,Maintenance Required
TURB-0443,COMP-0443,Site C,Mitsubishi,2016,2024-03-18,28679,2024-08-16,192.25,79.89,6.79,233.05,24.67,Diesel,Out of Service
TURB-0444,COMP-0444,Site B,GE,2004,2024-03-19,45299,2024-08-17,179.83,83.53,7.75,536.21,22.13,Hydrogen,Out of Service
TURB-0445,COMP-0445,Site A,Mitsubishi,2006,2024-03-20,77168,2024-08-18,180.47,95.68,2.51,207.96,16.1,Hydrogen,Maintenance Required
TURB-0446,COMP-0446,Site A,Siemens,2002,2024-03-21,61947,2024-08-19,107.62,88.97,0.84,321.06,24.74,Diesel,Operational
TURB-0447,COMP-0447,Site B,Mitsubishi,2005,2024-03-22,9590,2024-08-20,315.24,65.16,3.54,378.46,24.62,Natural Gas,Out of Service
TURB-0448,COMP-0448,Site A,Siemens,2012,2024-03-23,67797,2024-08-21,334.12,70.27,5.65,659.81,12.66,Natural Gas,Maintenance Required
TURB-0449,COMP-0449,Site C,Mitsubishi,2015,2024-03-24,39791,2024-08-22,431.22,75.33,7.7,1098.69,8.64,Diesel,Out of Service
TURB-0450,COMP-0450,Site B,Mitsubishi,2016,2024-03-25,8700,2024-08-23,350.31,64.0,4.09,493.39,5.9,Natural Gas,Operational
TURB-0451,COMP-0451,Site A,Mitsubishi,2005,2024-03-26,8980,2024-08-24,392.17,81.1,3.72,1027.46,17.41,Diesel,Out of Service
TURB-0452,COMP-0452,Site D,Solar,2004,2024-03-27,42688,2024-08-25,347.53,94.47,9.09,849.45,2.32,Hydrogen,Operational
TURB-0453,COMP-0453,Site D,Mitsubishi,2017,2024-03-28,22474,2024-08-26,351.55,71.64,4.55,947.52,19.45,Natural Gas,Out of Service
TURB-0454,COMP-0454,Site B,Mitsubishi,2003,2024-03-29,35424,2024-08-27,176.87,97.42,4.53,926.54,2.71,Natural Gas,Operational
TURB-0455,COMP-0455,Site A,GE,2011,2024-03-30,91919,2024-08-28,483.28,69.47,4.16,397.44,7.74,Diesel,Out of Service
TURB-0456,COMP-0456,Site D,GE,2015,2024-03-31,88389,2024-08-29,323.01,77.95,3.7,321.69,13.2,Hydrogen,Operational
TURB-0457,COMP-0457,Site C,Siemens,2010,2024-04-01,6470,2024-08-30,297.7,73.04,7.31,1174.22,3.79,Natural Gas,Out of Service
TURB-0458,COMP-0458,Site A,Solar,2010,2024-04-02,45805,2024-08-31,425.14,71.71,2.89,898.5,2.35,Natural Gas,Maintenance Required
TURB-0459,COMP-0459,Site C,GE,2005,2024-04-03,22514,2024-09-01,216.27,74.36,3.85,470.65,12.78,Hydrogen,Out of Service
TURB-0460,COMP-0460,Site D,GE,2015,2024-04-04,96295,2024-09-02,57.16,61.23,2.89,687.54,22.34,Hydrogen,Operational
TURB-0461,COMP-0461,Site B,Solar,2005,2024-04-05,78737,2024-09-03,127.65,80.22,5.75,942.25,11.1,Diesel,Operational
TURB-0462,COMP-0462,Site C,Siemens,2008,2024-04-06,39009,2024-09-04,405.96,88.17,9.61,114.13,6.21,Natural Gas,Out of Service
TURB-0463,COMP-0463,Site D,Mitsubishi,2017,2024-04-07,44194,2024-09-05,368.59,92.82,3.96,163.89,11.1,Natural Gas,Out of Service
TURB-0464,COMP-0464,Site B,Mitsubishi,2000,2024-04-08,64879,2024-09-06,67.42,72.33,9.69,78.84,18.48,Hydrogen,Out of Service
TURB-0465,COMP-0465,Site A,Mitsubishi,2017,2024-04-09,27823,2024-09-07,44.13,80.92,6.6,238.68,2.47,Hydrogen,Operational
TURB-0466,COMP-0466,Site D,GE,2018,2024-04-10,64542,2024-09-08,314.73,93.93,7.97,187.26,2.22,Natural Gas,Maintenance Required
TURB-0467,COMP-0467,Site D,GE,2008,2024-04-11,99685,2024-09-09,469.94,90.4,3.4,582.51,12.38,Hydrogen,Maintenance Required
TURB-0468,COMP-0468,Site A,Solar,2013,2024-04-12,66830,2024-09-10,95.71,77.63,2.32,380.28,17.4,Diesel,Maintenance Required
TURB-0469,COMP-0469,Site A,Solar,2011,2024-04-13,66590,2024-09-11,279.02,66.26,5.81,102.43,15.92,Diesel,Operational
TURB-0470,COMP-0470,Site A,Mitsubishi,2009,2024-04-14,88883,2024-09-12,407.86,81.22,9.91,566.86,16.49,Hydrogen,Operational
TURB-0471,COMP-0471,Site B,Mitsubishi,2008,2024-04-15,91754,2024-09-13,269.06,97.61,7.13,715.36,5.39,Natural Gas,Maintenance Required
TURB-0472,COMP-0472,Site B,Mitsubishi,2011,2024-04-16,39314,2024-09-14,182.05,88.79,6.85,475.76,14.16,Hydrogen,Maintenance Required
TURB-0473,COMP-0473,Site A,GE,2004,2024-04-17,98196,2024-09-15,397.38,92.22,4.56,349.4,10.38,Natural Gas,Operational
TURB-0474,COMP-0474,Site B,Mitsubishi,2018,2024-04-18,82999,2024-09-16,387.9,67.17,8.81,499.02,4.1,Diesel,Operational
TURB-0475,COMP-0475,Site D,GE,2009,2024-04-19,58983,2024-09-17,416.94,94.35,7.0,647.88,4.51,Diesel,Operational
TURB-0476,COMP-0476,Site B,Mitsubishi,2001,2024-04-20,76240,2024-09-18,473.1,60.54,6.78,551.43,16.67,Diesel,Operational
TURB-0477,COMP-0477,Site D,Solar,2005,2024-04-21,12994,2024-09-19,83.81,92.76,3.0,157.27,23.99,Natural Gas,Operational
TURB-0478,COMP-0478,Site D,Solar,2004,2024-04-22,49388,2024-09-20,176.98,69.09,9.58,575.36,4.0,Hydrogen,Operational
TURB-0479,COMP-0479,Site B,GE,2000,2024-04-23,71906,2024-09-21,493.13,83.66,2.58,878.38,13.13,Natural Gas,Maintenance Required
TURB-0480,COMP-0480,Site A,Mitsubishi,2017,2024-04-24,68879,2024-09-22,301.32,71.14,5.28,993.0,7.33,Natural Gas,Operational
TURB-0481,COMP-0481,Site C,Mitsubishi,2014,2024-04-25,46003,2024-09-23,338.36,65.14,3.46,555.47,8.12,Diesel,Out of Service
TURB-0482,COMP-0482,Site C,Solar,2001,2024-04-26,70442,2024-09-24,443.21,69.39,1.89,1192.86,6.77,Hydrogen,Operational
TURB-0483,COMP-0483,Site B,GE,2020,2024-04-27,38602,2024-09-25,348.61,77.97,1.53,1019.29,14.32,Natural Gas,Operational
TURB-0484,COMP-0484,Site D,Solar,2014,2024-04-28,95380,2024-09-26,344.78,94.95,3.0,297.69,2.83,Hydrogen,Maintenance Required
TURB-0485,COMP-0485,Site C,GE,2010,2024-04-29,83818,2024-09-27,61.21,74.78,6.92,575.29,18.95,Natural Gas,Maintenance Required
TURB-0486,COMP-0486,Site D,GE,2012,2024-04-30,12516,2024-09-28,258.35,62.12,9.75,389.78,15.76,Natural Gas,Operational
TURB-0487,COMP-0487,Site D,Solar,2019,2024-05-01,4998,2024-09-29,339.86,60.9,8.55,682.78,10.54,Diesel,Operational
TURB-0488,COMP-0488,Site D,Siemens,2014,2024-05-02,35280,2024-09-30,405.57,67.98,2.26,307.74,6.62,Diesel,Out of Service
TURB-0489,COMP-0489,Site D,Mitsubishi,2009,2024-05-03,35588,2024-10-01,212.49,61.98,0.88,90.51,14.1,Diesel,Maintenance Required
TURB-0490,COMP-0490,Site C,GE,2016,2024-05-04,36583,2024-10-02,70.53,74.1,6.9,1090.04,23.95,Hydrogen,Maintenance Required
TURB-0491,COMP-0491,Site B,Mitsubishi,2004,2024-05-05,37018,2024-10-03,189.25,74.6,0.4,647.72,18.14,Natural Gas,Operational
TURB-0492,COMP-0492,Site B,Mitsubishi,2000,2024-05-06,22583,2024-10-04,220.57,96.94,8.61,1102.21,8.06,Diesel,Operational
TURB-0493,COMP-0493,Site D,Mitsubishi,2018,2024-05-07,82949,2024-10-05,377.99,71.64,8.27,185.87,18.96,Hydrogen,Out of Service
TURB-0494,COMP-0494,Site D,Mitsubishi,2011,2024-05-08,34761,2024-10-06,19.69,82.76,7.96,224.2,13.34,Hydrogen,Out of Service
TURB-0495,COMP-0495,Site B,Siemens,2006,2024-05-09,31268,2024-10-07,199.04,91.12,5.57,310.46,2.63,Natural Gas,Out of Service
TURB-0496,COMP-0496,Site A,Siemens,2001,2024-05-10,47523,2024-10-08,229.46,79.49,9.74,575.69,16.01,Diesel,Out of Service
TURB-0497,COMP-0497,Site D,Mitsubishi,2020,2024-05-11,88714,2024-10-09,279.56,86.47,4.64,1062.0,7.0,Diesel,Out of Service
TURB-0498,COMP-0498,Site C,Solar,2014,2024-05-12,63853,2024-10-10,485.3,97.03,9.87,797.97,11.13,Diesel,Operational
TURB-0499,COMP-0499,Site C,Mitsubishi,2019,2024-05-13,97910,2024-10-11,372.9,72.32,8.83,113.26,12.74,Diesel,Operational
TURB-0500,COMP-0500,Site D,GE,2012,2024-05-14,55337,2024-10-12,118.99,62.82,1.35,518.27,20.28,Hydrogen,Maintenance Required
TURB-0501,COMP-0501,Site D,Mitsubishi,2006,2024-05-15,24263,2024-10-13,320.49,76.35,8.96,881.74,15.13,Diesel,Maintenance Required
TURB-0502,COMP-0502,Site B,Siemens,2013,2024-05-16,45763,2024-10-14,179.6,80.54,3.12,420.74,9.49,Diesel,Maintenance Required
TURB-0503,COMP-0503,Site A,GE,2019,2024-05-17,87868,2024-10-15,407.59,82.04,7.71,616.45,16.95,Hydrogen,Operational
TURB-0504,COMP-0504,Site B,GE,2015,2024-05-18,88824,2024-10-16,93.82,88.07,0.1,868.15,6.01,Natural Gas,Maintenance Required
TURB-0505,COMP-0505,Site A,Siemens,2008,2024-05-19,60922,2024-10-17,80.81,94.13,2.83,1159.73,20.84,Natural Gas,Maintenance Required
TURB-0506,COMP-0506,Site C,Siemens,2018,2024-05-20,73973,2024-10-18,59.68,79.01,7.61,433.2,6.23,Hydrogen,Out of Service
TURB-0507,COMP-0507,Site B,GE,2004,2024-05-21,16408,2024-10-19,276.61,65.45,9.73,906.03,14.63,Hydrogen,Out of Service
TURB-0508,COMP-0508,Site B,Siemens,2009,2024-05-22,33562,2024-10-20,70.39,75.33,1.79,909.51,6.32,Diesel,Maintenance Required
TURB-0509,COMP-0509,Site D,Siemens,2007,2024-05-23,77015,2024-10-21,30.46,65.9,4.65,674.11,9.15,Natural Gas,Out of Service
TURB-0510,COMP-0510,Site D,Mitsubishi,2013,2024-05-24,26171,2024-10-22,172.9,66.93,5.91,985.37,11.43,Natural Gas,Maintenance Required
TURB-0511,COMP-0511,Site C,GE,2010,2024-05-25,7831,2024-10-23,401.1,60.06,9.53,666.53,10.13,Diesel,Out of Service
TURB-0512,COMP-0512,Site A,Siemens,2000,2024-05-26,99114,2024-10-24,86.48,95.33,4.59,768.75,23.45,Diesel,Operational
TURB-0513,COMP-0513,Site A,Siemens,2009,2024-05-27,19745,2024-10-25,185.37,88.32,9.34,1012.81,6.75,Diesel,Operational
TURB-0514,COMP-0514,Site C,GE,2001,2024-05-28,65333,2024-10-26,223.51,63.81,9.78,597.71,5.73,Diesel,Operational
TURB-0515,COMP-0515,Site A,Mitsubishi,2006,2024-05-29,61564,2024-10-27,439.23,94.96,9.42,599.65,13.66,Hydrogen,Maintenance Required
TURB-0516,COMP-0516,Site D,Siemens,2016,2024-05-30,60162,2024-10-28,243.42,93.07,7.51,729.69,23.8,Hydrogen,Maintenance Required
TURB-0517,COMP-0517,Site C,Mitsubishi,2004,2024-05-31,1156,2024-10-29,260.86,94.58,1.35,974.82,13.33,Diesel,Maintenance Required
TURB-0518,COMP-0518,Site D,Mitsubishi,2009,2024-06-01,28879,2024-10-30,134.77,63.7,6.06,196.26,24.05,Natural Gas,Out of Service
TURB-0519,COMP-0519,Site C,Mitsubishi,2004,2024-06-02,84150,2024-10-31,337.59,63.04,7.56,936.9,5.97,Natural Gas,Maintenance Required
TURB-0520,COMP-0520,Site C,Solar,2004,2024-06-03,97427,2024-11-01,22.57,62.57,9.55,388.97,1.74,Natural Gas,Maintenance Required
TURB-0521,COMP-0521,Site A,GE,2008,2024-06-04,24963,2024-11-02,482.58,96.74,7.8,131.69,8.62,Natural Gas,Operational
TURB-0522,COMP-0522,Site B,Solar,2010,2024-06-05,34957,2024-11-03,254.08,85.1,5.44,961.0,16.5,Natural Gas,Maintenance Required
TURB-0523,COMP-0523,Site C,GE,2014,2024-06-06,80630,2024-11-04,40.29,66.76,2.13,216.91,15.41,Diesel,Out of Service
TURB-0524,COMP-0524,Site A,Mitsubishi,2004,2024-06-07,8694,2024-11-05,283.99,95.31,4.62,295.25,7.18,Natural Gas,Operational
TURB-0525,COMP-0525,Site C,Mitsubishi,2016,2024-06-08,93061,2024-11-06,261.85,76.84,6.42,862.09,17.05,Hydrogen,Operational
TURB-0526,COMP-0526,Site A,Mitsubishi,2018,2024-06-09,54752,2024-11-07,127.94,89.85,3.31,699.2,21.01,Hydrogen,Out of Service
TURB-0527,COMP-0527,Site C,Mitsubishi,2013,2024-06-10,99847,2024-11-08,112.32,84.18,4.62,1108.57,17.65,Natural Gas,Maintenance Required
TURB-0528,COMP-0528,Site A,Mitsubishi,2020,2024-06-11,59443,2024-11-09,142.68,84.69,0.27,1147.48,18.6,Hydrogen,Operational
TURB-0529,COMP-0529,Site C,Solar,2001,2024-06-12,96443,2024-11-10,73.57,76.71,8.8,411.06,8.73,Diesel,Operational
TURB-0530,COMP-0530,Site C,Mitsubishi,2013,2024-06-13,81474,2024-11-11,270.4,75.01,0.44,422.83,13.94,Natural Gas,Maintenance Required
TURB-0531,COMP-0531,Site C,Mitsubishi,2019,2024-06-14,56041,2024-11-12,440.68,66.15,4.15,291.2,2.5,Diesel,Out of Service
TURB-0532,COMP-0532,Site A,Mitsubishi,2003,2024-06-15,56016,2024-11-13,462.33,62.69,5.16,645.26,9.94,Hydrogen,Maintenance Required
TURB-0533,COMP-0533,Site B,Solar,2002,2024-06-16,47101,2024-11-14,476.96,95.26,9.73,484.69,20.67,Natural Gas,Out of Service
TURB-0534,COMP-0534,Site C,Siemens,2014,2024-06-17,97409,2024-11-15,304.18,95.59,9.36,66.85,20.07,Diesel,Maintenance Required
TURB-0535,COMP-0535,Site A,GE,2015,2024-06-18,81295,2024-11-16,314.56,84.37,6.5,504.2,23.61,Diesel,Operational
TURB-0536,COMP-0536,Site D,GE,2009,2024-06-19,25867,2024-11-17,162.15,74.75,5.88,120.96,24.27,Diesel,Maintenance Required
TURB-0537,COMP-0537,Site A,Siemens,2017,2024-06-20,17996,2024-11-18,443.82,60.95,3.73,968.9,24.36,Diesel,Maintenance Required
TURB-0538,COMP-0538,Site A,Siemens,2018,2024-06-21,57440,2024-11-19,249.19,77.01,0.51,1118.23,5.2,Diesel,Operational
TURB-0539,COMP-0539,Site B,Solar,2001,2024-06-22,41446,2024-11-20,146.86,85.04,2.75,390.2,4.33,Hydrogen,Operational
TURB-0540,COMP-0540,Site D,GE,2009,2024-06-23,15720,2024-11-21,483.18,71.41,8.49,798.32,22.06,Natural Gas,Out of Service
TURB-0541,COMP-0541,Site D,Siemens,2001,2024-06-24,75458,2024-11-22,355.64,73.01,6.52,151.8,10.5,Diesel,Out of Service
TURB-0542,COMP-0542,Site B,Siemens,2015,2024-06-25,7377,2024-11-23,237.68,77.95,8.16,468.05,9.89,Diesel,Maintenance Required
TURB-0543,COMP-0543,Site B,Solar,2004,2024-06-26,91329,2024-11-24,43.63,78.81,8.39,712.3,14.04,Hydrogen,Maintenance Required
TURB-0544,COMP-0544,Site C,Solar,2003,2024-06-27,96647,2024-11-25,78.68,88.23,0.72,169.8,12.11,Natural Gas,Operational
TURB-0545,COMP-0545,Site C,Mitsubishi,2016,2024-06-28,74042,2024-11-26,106.27,78.99,3.44,483.71,6.74,Natural Gas,Operational
TURB-0546,COMP-0546,Site A,Siemens,2012,2024-06-29,14882,2024-11-27,452.39,92.12,6.79,1148.53,21.35,Natural Gas,Maintenance Required
TURB-0547,COMP-0547,Site A,Solar,2011,2024-06-30,99219,2024-11-28,486.08,78.35,8.55,241.0,22.87,Natural Gas,Maintenance Required
TURB-0548,COMP-0548,Site C,GE,2016,2024-07-01,55848,2024-11-29,140.82,61.21,8.03,763.26,19.07,Natural Gas,Maintenance Required
TURB-0549,COMP-0549,Site D,Solar,2008,2024-07-02,25821,2024-11-30,254.17,65.37,4.28,1008.35,2.63,Hydrogen,Out of Service
TURB-0550,COMP-0550,Site A,GE,2019,2024-07-03,14181,2024-12-01,398.02,87.29,9.33,936.85,4.27,Diesel,Maintenance Required
TURB-0551,COMP-0551,Site A,Mitsubishi,2000,2024-07-04,66939,2024-12-02,198.47,77.17,3.08,937.09,9.63,Natural Gas,Operational
TURB-0552,COMP-0552,Site B,Siemens,2000,2024-07-05,62104,2024-12-03,251.26,77.53,3.82,117.99,14.58,Natural Gas,Maintenance Required
TURB-0553,COMP-0553,Site C,Siemens,2001,2024-07-06,56264,2024-12-04,444.94,97.16,1.9,1169.64,15.82,Diesel,Operational
